Starting Training Loop...
[16/20][400/434]	Loss_D: 0.4182	Loss_G: 6.8564	D(x): 0.8952	D(G(z)): 0.2151 / 0.0038
[17/20][0/434]	Loss_D: 1.4581	Loss_G: 7.5308	D(x): 0.9807	D(G(z)): 0.6418 / 0.0017
[17/20][50/434]	Loss_D: 0.4108	Loss_G: 5.6264	D(x): 0.9395	D(G(z)): 0.2569 / 0.0060
[17/20][100/434]	Loss_D: 0.4002	Loss_G: 4.4282	D(x): 0.9324	D(G(z)): 0.2532 / 0.0209
[17/20][150/434]	Loss_D: 0.1554	Loss_G: 4.3625	D(x): 0.9488	D(G(z)): 0.0888 / 0.0230
[17/20][200/434]	Loss_D: 0.2224	Loss_G: 4.5400	D(x): 0.9336	D(G(z)): 0.1285 / 0.0168
[17/20][250/434]	Loss_D: 0.2179	Loss_G: 3.5434	D(x): 0.8591	D(G(z)): 0.0442 / 0.0453
[17/20][300/434]	Loss_D: 0.1859	Loss_G: 5.2478	D(x): 0.9499	D(G(z)): 0.1027 / 0.0094
[17/20][350/434]	Loss_D: 0.3185	Loss_G: 2.4690	D(x): 0.8379	D(G(z)): 0.0887 / 0.1209
[17/20][400/434]	Loss_D: 0.5484	Loss_G: 6.6385	D(x): 0.9559	D(G(z)): 0.3523 / 0.0023
[18/20][0/434]	Loss_D: 0.6287	Loss_G: 6.9220	D(x): 0.9682	D(G(z)): 0.3814 / 0.0020
[18/20][50/434]	Loss_D: 0.3449	Loss_G: 5.4100	D(x): 0.9187	D(G(z)): 0.1788 / 0.0072
[18/20][100/434]	Loss_D: 0.3206	Loss_G: 4.4534	D(x): 0.9643	D(G(z)): 0.2046 / 0.0191
[18/20][150/434]	Loss_D: 0.2339	Loss_G: 3.9146	D(x): 0.8923	D(G(z)): 0.0895 / 0.0363
[18/20][200/434]	Loss_D: 0.2687	Loss_G: 5.7998	D(x): 0.9516	D(G(z)): 0.1720 / 0.0054
[18/20][250/434]	Loss_D: 0.2906	Loss_G: 5.4815	D(x): 0.9207	D(G(z)): 0.1538 / 0.0084
[18/20][300/434]	Loss_D: 0.2582	Loss_G: 3.7593	D(x): 0.9373	D(G(z)): 0.1523 / 0.0412
